,codigo_postal,localidad,province
504,3267,CAÑADA DE LAS OVEJAS,Entre Ríos
505,3269,ARROYO BARU,Entre Ríos
506,3272,COLONIA 1 DE MAYO,Entre Ríos
507,3280,ARROYO URQUIZA,Entre Ríos
508,3281,CALERA,Entre Ríos
509,3283,COLONIA MABRAGAÑA,Entre Ríos
510,3285,BERDUC,Entre Ríos
511,3287,ALDEA SAN GREGORIO,Entre Ríos
512,3300,ARROYO,Misiones
513,3302,AGUARA CUA,Corrientes
514,3304,BARRIO DON SANTIAGO,Misiones
515,3306,CENTINELA,Corrientes
516,3308,CANDELARIA,Misiones
517,3309,ARROYO TOMAS,Misiones
518,3311,ARROYO ISABEL,Misiones
519,3313,ARROYO DEL MEDIO,Misiones
520,3315,CAA YARI,Misiones
521,3316,ARROYO PASTORA,Misiones
522,3317,ARROYO MAGDALENA,Misiones
523,3318,BONPLAND NORTE,Misiones
524,3322,APARICIO CUE,Misiones
525,3324,GOBERNADOR ROCA,Misiones
526,3326,COLONIA LEIVA,Misiones
527,3327,COLONIA ROCA,Misiones
528,3328,COLONIA JAPONESA,Misiones
529,3332,CAPIOVI,Misiones
530,3334,3 DE MAYO,Misiones
531,3337,ADOLFO J POMAR,Misiones
532,3338,17 DE AGOSTO,Misiones
533,3340,BOQUERON,Corrientes
534,3342,AGUAPEY,Corrientes
535,3344,2 DE JULIO,Corrientes
536,3346,BACACAY,Corrientes
537,3350,APOSTOLES,Misiones
538,3351,AZARA,Misiones
539,3353,ARROYO SANTA MARIA,Misiones
540,3355,ARRECHEA,Misiones
541,3357,BARRA BONITA,Misiones
542,3358,CHEROGUITA,Misiones
543,3360,ARROYO FEDOR,Misiones
544,3361,ACARAGUA,Misiones
545,3362,1 DE MAYO,Misiones
546,3363,25 DE MAYO,Misiones
547,3364,2 DE MAYO,Misiones
548,3366,ALMIRANTE BROWN,Misiones
549,3370,PLANCHADA BANDERITA,Misiones
550,3371,CABURE,Not Found
551,3372,CATARATAS DEL IGUAZU,Not Found
552,3374,EL PORVENIR,Misiones
553,3376,GOBERNADOR LANUSSE,Misiones
554,3378,22 DE DICIEMBRE,Misiones
555,3380,9 DE JULIO KILOMETRO 20,Misiones
556,3381,MARIA MAGDALENA,Misiones
557,3382,COLONIA CUNCI,Misiones
558,3384,BARRANCON,Misiones
559,3386,CARAGUATAY,Misiones
560,3400,BAÑADO NORTE,Corrientes
561,3401,ARROYO PELON,Corrientes
562,3403,AGUIRRE CUE,Corrientes
563,3405,ALGARROBAL PUISOYE,Corrientes
564,3407,AGUAY,Corrientes
565,3409,ARROYO SAN JUAN,Corrientes
566,3412,ALBARDON,Corrientes
567,3414,ABRA,Corrientes
568,3416,ARROYO CEIBAL,Corrientes
569,3418,BARTOLOME MITRE,Corrientes
570,3420,ACUÑA CUE,Corrientes
571,3421,BAJO GUAZU,Corrientes
572,3423,ARAÑITA,Corrientes
573,3425,COSTA GRANDE,Corrientes
574,3427,ABRA,Corrientes
575,3428,ESTACION SALADAS,Corrientes
576,3432,BELLA VISTA,Corrientes
577,3433,CARRIZAL NORTE,Corrientes
578,3440,BARRIO VILLA CORDOBA,Corrientes
579,3441,ALGARROBO,Corrientes
580,3443,COLONIA MENDEZ BAR,Corrientes
581,3445,9 DE JULIO,Corrientes
582,3446,KILOMETRO 374,Corrientes
583,3448,ALAMO,Corrientes
584,3449,BOLICHE LATA,Corrientes
585,3450,8 DE DICIEMBRE,Corrientes
586,3451,BATELITO,Corrientes
587,3453,IFRAN,Corrientes
588,3454,BAÑADO SAN ANTONIO,Corrientes
589,3460,ARROYO CASTILLO,Corrientes
590,3461,ABO NEZU,Corrientes
591,3463,ARISTIA,Corrientes
592,3465,ARROYO CASCO,Corrientes
593,3466,ABALO,Corrientes
594,3470,ARROYO GRANDE,Corrientes
595,3471,ALEN CUE,Corrientes
596,3472,CAAGUAZU,Corrientes
597,3474,CHAVARRIA,Corrientes
598,3476,EL REMANSO,Corrientes
599,3480,ALGARROBAL,Corrientes
600,3481,ANGOSTURA,Corrientes
601,3483,ARROYO BALMACEDA,Corrientes
602,3485,CARANDAITI,Corrientes
603,3486,VILLA OLIVARI,Not Found
604,3487,PUESTO DE ISLA,Not Found
605,3500,COLONIA FLORENCIA,Chaco
606,3501,CAMPO DE GALNASI,Chaco
607,3503,BARRANQUERAS,Chaco
608,3505,ARROYO QUINTANA,Chaco
609,3507,LA EDUVIGIS,Chaco
610,3509,CAMPO EL BERMEJO,Chaco
611,3511,COLONIA CORONEL DORREGO,Chaco
612,3513,ARBOL SOLO,Chaco
613,3514,CACUI,Chaco
614,3515,CAPITAN SOLARI,Chaco
615,3516,BASAIL,Chaco
616,3518,CABRAL CUE,Chaco
617,3522,EL RETIRO,Chaco
618,3524,EL CAMPAMENTO,Chaco
619,3526,GANDOLFI,Formosa
620,3530,ALDEA FORESTAL,Chaco
621,3531,COLONIA ABORIGEN,Chaco
622,3532,CURANDU,Chaco
623,3534,COLONIA EL AGUARA,Chaco
624,3536,BOCAS,Chaco
625,3540,AVANZADA,Chaco
626,3541,CAMPO LAS PUERTAS,Chaco
627,3543,COLONIA LOTE 12,Chaco
628,3545,KILOMETRO 525,Chaco
629,3550,ALLENDE,Santa Fé
630,3551,CAMPO MONTE LA VIRUELA,Santa Fé
631,3553,COLONIA DURAN,Santa Fé
632,3555,CAMPO HUBER,Santa Fé
633,3557,CARAGUATAY,Not Found
634,3560,CAMPO UBAJO,Santa Fé
635,3561,AVELLANEDA,Santa Fé
636,3563,COLONIA SAN MANUEL,Santa Fé
637,3565,ARROYO DEL REY,Santa Fé
638,3567,DEST AERONAUTICO MILIT RECONQU,Santa Fé
639,3569,BARROS PAZOS,Santa Fé
640,3572,CAMPO GARABATO,Santa Fé
641,3574,CAPILLA GUADALUPE NORTE,Santa Fé
642,3575,ARROYO CEIBAL,Santa Fé
643,3580,KILOMETRO 408,Santa Fé
644,3581,CAMPO REDONDO,Santa Fé
645,3583,ISLA TIGRE,Santa Fé
646,3585,EL SOMBRERITO,Santa Fé
647,3586,CAMPO YAGUARETE,Santa Fé
648,3587,SAN ANTONIO DE OBLIGADO,Santa Fé
649,3589,KILOMETRO 23,Santa Fé
650,3592,COLONIA HARDY,Santa Fé
651,3620,KILOMETRO 184,Formosa
652,3621,POZO NAVAGAN,Formosa
653,3641,ARROYO SECO,Not Found
654,3700,BARRIO GRAL JOSE DE SAN MARTIN,Chaco
655,3701,ALMIRANTE BROWN,Chaco
656,3703,ALELOY,Chaco
657,3705,10 DE MAYO,Chaco
658,3706,AVIA TERAI,Chaco
659,3708,CONCEPCION DEL BERMEJO,Chaco
660,3712,LOS FRENTONES,Santiago del Estero
661,3714,9 DE JULIO,Chaco
662,3716,CAMPO LARGO,Chaco
663,3718,AMAMBAY,Chaco
664,3722,2 DE MAYO,Chaco
665,3730,CABRAL,Chaco
666,3731,MESON DE FIERRO,Santiago del Estero
667,3732,COLONIA ABATE,Chaco
668,3733,CAMPO EL JACARANDA,Chaco
669,3734,CAMPO MORENO,Chaco
670,4000,ESTACION DE ZOOTECNIA B,Tucumán
671,4101,AGUA NEGRA,Tucumán
672,4103,BAJO DE RACO,Tucumán
673,4105,ABRA DEL TAFI,Tucumán
674,4107,ACONQUIJA,Tucumán
675,4109,ALTO NUESTRA SEÑORA DEL VALLE,Tucumán
676,4111,AGUADA,Tucumán
677,4113,ACOSTILLA,Tucumán
678,4115,AGUA AZUL,Tucumán
679,4117,ALABAMA,Tucumán
680,4119,AGUA COLORADA,Tucumán
681,4122,ALIZAL,Tucumán
682,4124,ABRA EL CANDADO,Tucumán
683,4126,EL BRETE,Salta
684,4128,EL CARMEN,Tucumán
685,4129,CAÑADA,Tucumán
686,4132,AGUA AZUL,Tucumán
687,4133,LA BANDA,Tucumán
688,4134,ACHERAL,Tucumán
689,4135,CASPINCHANGO,Tucumán
690,4137,ABRA BAYA,Tucumán
691,4139,AGUA AMARILLA LA HOYADA,Catamarca
692,4141,FUERTE QUEMADO,Tucumán
693,4142,ALTO DE LEIVA,Tucumán
694,4143,INDEPENDENCIA,Tucumán
695,4144,AMBERES,Tucumán
696,4145,INGENIO LA PROVIDENCIA,Tucumán
697,4146,BARRIO BELGRANO,Tucumán
698,4147,ALTO LAS LECHUZAS,Tucumán
699,4149,ALPACHIRI,Tucumán
700,4151,BAJO DE LOS SUELDOS,Tucumán
701,4152,AGUILARES,Tucumán
702,4153,ALTO VERDE,Tucumán
703,4155,CEVIL GRANDE,Tucumán
704,4157,ARROYO MAL PASO,Tucumán
705,4158,CAMPO DE TALAMAYO,Tucumán
706,4159,ALTO EL PUESTO,Tucumán
707,4161,ALONGO,Tucumán
708,4162,BATIRUANA,Tucumán
709,4163,HUASA PAMPA NORTE,Tucumán
710,4164,BAJASTINE,Tucumán
711,4166,BALDERRAMA,Tucumán
712,4168,AGUA BLANCA,Tucumán
713,4172,BUENA VISTA,Tucumán
714,4174,AMPATA,Tucumán
715,4176,ALTO DEL PUESTO,Santiago del Estero
716,4178,ABRA RICA,Tucumán
717,4182,CAMPO LA FLOR LOS RALOS,Tucumán
718,4184,BUSTAMANTE,Santiago del Estero
719,4186,CAÑETE,Tucumán
720,4187,ANTA CHICA,Tucumán
721,4195,7 DE ABRIL,Tucumán
722,4230,BREA CHIMPANA,Santiago del Estero
723,4231,ALBIGASTA,Santiago del Estero
724,4234,ACHALCO,Catamarca
725,4235,ALBIGASTA,Catamarca
726,4237,CORTADERAS,Santiago del Estero
727,4242,25 DE MAYO,Tucumán
728,4411,SEY,Salta
729,4413,CATUA,Salta
730,4431,AGUAS CALIENTES,Not Found
731,4434,ANTA,Salta
732,4500,ALTO DEL SALADILLO,Jujuy
733,4501,ABRA DEL TRIGO,Jujuy
734,4503,ARRAYANAL,Jujuy
735,4504,23 DE AGOSTO,Jujuy
736,4506,ALEGRIA,Jujuy
737,4512,AGUA NEGRA,Jujuy
738,4513,ALTO CALILEGUA,Jujuy
739,4514,CALILEGUA,Jujuy
740,4516,CAIMANCITO,Jujuy
741,4518,AGUAS CALIENTES,Jujuy
742,4522,ALTO DEL SALADILLO,Jujuy
743,4542,EL PALMAR DE SAN FRANCISCO,Jujuy
744,4561,LA CHINACA,Salta
745,4600,ALGARROBAL,Jujuy
746,4601,CORRAL DE PIEDRAS,Jujuy
747,4603,CATAMONTAÑA,Jujuy
748,4605,ALISOS  DE ABAJO,Jujuy
749,4606,COLONIA LOS LAPACHOS,Jujuy
750,4608,ALTO VERDE,Jujuy
751,4612,CARAHUNCO,Jujuy
752,4616,BARCENA,Jujuy
753,4618,ABRA DE PIVES,Jujuy
754,4622,BELLA VISTA,Jujuy
755,4624,ABRA MAYO,Jujuy
756,4626,ANGOSTO DEL PERCHEL,Jujuy
757,4630,APARZO,Jujuy
758,4631,ANTIGUO,Jujuy
759,4632,ANTUMPA,Jujuy
760,4633,SAN PEDRO DE IRUYA,Salta
761,4634,ABRALAITE,Jujuy
762,4640,ABRA PAMPA,Jujuy
763,4641,ABDON CASTRO TOLAY,Jujuy
764,4643,ANTIGUYOS,Jujuy
765,4644,CANGREJILLOS,Salta
766,4648,BARRIO LA UNION,Jujuy
767,4650,ABRA DE PEÑAS,Jujuy
768,4651,AGUA DE CASTILLA,Salta
769,4653,CASIRA,Jujuy
770,4655,CABRERIA,Jujuy
771,4700,BANDA VARELA,Catamarca
772,4701,ACOSTILLA,Catamarca
773,4705,AGUADITA,Catamarca
774,4707,CHAÑARCITO,Catamarca
775,4709,SAN JOSE DE PIEDRA BLANCA,Not Found
776,4711,AMBATO,Catamarca
777,4713,OCHO VADOS,Catamarca
778,4715,AGUA VERDE,Catamarca
779,4716,AMADORES,Catamarca
780,4718,BARRO NEGRO,Catamarca
781,4719,BALCOSNA,Catamarca
782,4722,EL DURAZNILLO,Catamarca
783,4723,ALIJILAN,Catamarca
784,4724,AGUA COLORADA,Catamarca
785,4726,CAPAYAN,Catamarca
786,4728,CHUMBICHA,Catamarca
787,4740,AGUA SALADA,Catamarca
788,4741,AGUA DE LAS PALOMAS,Catamarca
789,4743,ACONQUIJA,Catamarca
790,4750,AGUA COLORADA,Catamarca
791,4751,AGUA DE DIONISIO,Catamarca
792,4753,CORRALITO,Catamarca
793,5260,ACHERAL,Catamarca
794,5261,AGUA DEL SIMBOL,Catamarca
795,5263,EL MEDANO,Catamarca
796,5264,ANGELINA,Catamarca
797,5265,AGUA LOS MATOS,Catamarca
798,5266,CHICHAGASTA,Catamarca
799,5272,COMANDANTE LEAL,Córdoba
800,5274,ALTILLO DEL MEDIO,La Rioja
801,5275,AGUA COLORADA,La Rioja
802,5276,BALDES DE PACHECO,La Rioja
803,5300,AMILGANCHO,La Rioja
804,5301,AGUA BLANCA,La Rioja
805,5303,ANJULLON,Not Found
806,5304,EL TALA,La Rioja
807,5306,CARRIZAL,Not Found
808,5310,AIMOGASTA,La Rioja
809,5311,ARAUCO,La Rioja
810,5313,ESTACION MAZAN,La Rioja
811,5315,CALERA LA NORMA,Catamarca
812,5317,APOYACO,Catamarca
813,5319,COLPES,Catamarca
814,5321,EL POTRERO,Catamarca
815,5325,ALPASINCHE,La Rioja
816,5327,CAPIHUAS,La Rioja
817,5329,AMUSCHINA,La Rioja
818,5331,ANDALUCIA,Catamarca
819,5333,BANDA DE LUCERO,Catamarca
820,5340,AGUA GRANDE,Catamarca
821,5341,ANILLACO,Catamarca
822,5343,LAVALLE,Catamarca
823,5345,BAÑOS TERMALES,Catamarca
824,5350,EL MOLLE,La Rioja
825,5351,BANDA FLORIDA,La Rioja
826,5353,EL ZAPALLAR,La Rioja
827,5355,EL ALTILLO,La Rioja
828,5357,EL HORNO,La Rioja
829,5359,ALTO JAGUEL,La Rioja
830,5360,CHILECITO,La Rioja
831,5361,AICUÑA,La Rioja
832,5363,ANGUINAN,Not Found
833,5365,EL JUMEAL,La Rioja
834,5367,CACHIYUYAL,La Rioja
835,5369,PAGANCILLO,Not Found
836,5372,NONOGASTA,Not Found
837,5374,CATINZACO,La Rioja
838,5380,CHAMICAL,La Rioja
839,5381,BELLA VISTA,La Rioja
840,5383,AGUA COLORADA,La Rioja
841,5384,PUNTA DE LOS LLANOS,Not Found
842,5385,AGUADITA,La Rioja
843,5386,AMANA,La Rioja
844,5400,DESAMPARADOS,San Juan
845,5401,BARRIO EL TONTAL,San Juan
846,5403,BARRIALITOS,San Juan
847,5405,AGUA Y ENERGIA,San Juan
848,5407,DIQUE TOMA,San Juan
849,5409,ADAN QUIROGA,San Juan
850,5411,LA LEGUA,San Juan
851,5413,APEADERO LAS CHIMBAS,San Juan
852,5415,ANGACO NORTE,San Juan
853,5417,9 DE JULIO,San Juan
854,5419,BAÑOS DE LA LAJA,San Juan
855,5421,LA TRANCA,San Juan
856,5423,CAPITAN LAZO,San Juan
857,5424,VILLA LERGA,Not Found
858,5425,ALBARRACIN,San Juan
859,5427,APEADERO QUIROGA,San Juan
860,5429,EL ABANICO,San Juan
861,5431,APEADERO GUANACACHE,San Juan
862,5433,ESTACION LA RINCONADA,Not Found
863,5435,ALGARROBO GRANDE,San Juan
864,5436,COLONIA ZAPATA,San Juan
865,5438,ALTO DE SIERRA,San Juan
866,5439,BELGRANO,San Juan
867,5442,AMBAS PUNTILLAS,San Juan
868,5443,ALGARROBO VERDE,San Juan
869,5444,AMPACAMA,San Juan
870,5446,BALDE DE LEYES,San Juan
871,5447,AGUA CERCADA,San Juan
872,5449,AGUANGO,San Juan
873,5460,AGUA DE LA ZORRA,San Juan
874,5461,AGUADA DE LA PEÑA,San Juan
875,5463,ALTO HUACO,San Juan
876,5465,BAÑOS PISMANTA,San Juan
877,5467,ACERILLOS,San Juan
878,5470,ABRA VERDE,La Rioja
879,5471,AGUA BLANCA,La Rioja
880,5473,AGUAYO,La Rioja
881,5474,BARRANQUITAS,La Rioja
882,5475,AGUA DE LA PIEDRA,La Rioja
883,5500,CERRO ACONCAGUA,Mendoza
884,5501,CERRILLOS AL SUD,Mendoza
885,5503,PASO DE LOS ANDES,Mendoza
886,5505,CARBOMETAL,Mendoza
887,5507,BAÑOS LUNLUNTA,Mendoza
888,5509,AGRELO,Mendoza
889,5511,GENERAL GUTIERREZ,Not Found
890,5513,BARRIO JARDIN LUZURIAGA,Mendoza
891,5515,MAIPU,Not Found
892,5517,CESPEDES,Mendoza
893,5519,ALTO DE LAS ARAÑAS,Mendoza
894,5521,LOS CORREDORES,Mendoza
895,5523,BUENA NUEVA,Mendoza
896,5525,BUENA VISTA,Mendoza
897,5527,COLONIA SANTA TERESA,Mendoza
898,5529,COLONIA BOMBAL,Mendoza
899,5531,BARRIO FERRI,Mendoza
900,5533,9 DE JULIO,Mendoza
901,5535,ASUNCION,Mendoza
902,5537,ALGARROBITO,Mendoza
903,5539,ARENALES,Mendoza
904,5541,ALGARROBAL ABAJO,Mendoza
905,5543,3 DE MAYO,Mendoza
906,5544,GOBERNADOR BENEGAS,Not Found
907,5545,AGUA DE DIAZ,Mendoza
908,5547,VILLA HIPODROMO,Not Found
909,5549,AGUA DE LOS MANANTIALES,Mendoza
910,5551,ESTACION USPALLATA,Mendoza
911,5553,EMPALME FRONTERA,Mendoza
912,5555,PUENTE DEL INCA,Not Found
913,5557,CARACOLES,Mendoza
914,5560,ARROYO CLARO,Mendoza
915,5561,ANCON,Mendoza
916,5563,AGUA AMARGA,Mendoza
917,5565,CAMPO DE LOS ANDES,Mendoza
918,5567,LA CAÑADA,Mendoza
919,5569,AGUADA,Mendoza
920,5570,ALTO DEL SALVADOR,Mendoza
921,5571,CHIVILCOY,Mendoza
922,5572,ALTO GRANDE,Mendoza
923,5573,COLONIA DELFINO,Mendoza
924,5575,ANDRADE,Mendoza
925,5577,EL ALTO,Mendoza
926,5579,BARRIO LENCINA,Mendoza
927,5582,ALBERTO FLORES,Mendoza
928,5584,BARRIO VILLA ADELA,Mendoza
929,5585,EL CIPRES,Mendoza
930,5587,BARCALA,Mendoza
931,5589,CHAPANAY,Mendoza
932,5590,ADRIAN MATURANO,Mendoza
933,5591,ALPATACAL,Mendoza
934,5592,EL CARBALINO,Mendoza
935,5594,ALTO CON ZAMPA,Mendoza
936,5595,CUPILES,Mendoza
937,5596,12 DE OCTUBRE,Mendoza
938,5598,BAÑADO VERDE,Mendoza
939,5600,AGUA DE LA MULA,Mendoza
940,5601,CAPITAN MONTOYA,Mendoza
941,5603,CAÑADA SECA,Mendoza
942,5605,CALLE LARGA VIEJA,Mendoza
943,5607,COLONIA BOMBAL Y TABANERA,Mendoza
944,5609,ARISTIDES VILLANUEVA,Mendoza
945,5611,AGUA RICA,Mendoza
946,5612,VALLE DE LAS LEÑAS,Not Found
947,5613,AGUA BOTADA,Mendoza
948,5615,25 DE MAYO,Mendoza
949,5620,EL JUNCALITO,Mendoza
950,5621,AGUA DE TORRE,La Pampa
951,5622,COLONIA JAUREGUI,Mendoza
952,5623,ATUEL SUD,Mendoza
953,5624,KILOMETRO 47,Mendoza
954,5632,COLONIA ALVEAR,Mendoza
955,5633,OCHENTA Y CUATRO,Not Found
956,5634,BOWEN,Mendoza
957,5636,FAVELLI,Mendoza
958,5637,30 DE OCTUBRE,San Luis
959,5645,EL CENIZO,Not Found
960,5700,ALTO BLANCO,San Luis
961,5701,11 DE MAYO,San Luis
962,5703,6 DE SEPTIEMBRE,San Luis
963,5705,AGUA HEDIONDA,San Luis
964,5707,AGUADITAS,San Luis
965,5709,BAÑADITO VIEJO,San Luis
966,5710,LA PUNTA,Not Found
967,5711,ANGELITA,San Luis
968,5713,BALDE AHUMADA,San Luis
969,5715,ARBOL VERDE,San Luis
970,5717,EL PIMPOLLO,La Rioja
971,5719,AGUA AMARGA,San Luis
972,5721,AGUA SEBALLE,San Luis
973,5722,ACASAPE,San Luis
974,5724,ALTO PENCOSO,San Luis
975,5730,20 DE FEBRERO,San Luis
976,5731,ALFALAND,San Luis
977,5733,CRAMER,San Luis
978,5734,LA RIBERA,Not Found
979,5735,COLONIA BELLA VISTA,San Luis
980,5736,COMANDANTE GRANVILLE,San Luis
981,5738,AVANZADA,San Luis
982,5741,13 DE ENERO,San Luis
983,5743,LA ISABEL,San Luis
984,5750,ALTO DE LA LEÑA,San Luis
985,5751,AGUA SALADA,San Luis
986,5753,AGUA LINDA,San Luis
987,5755,ALTO DEL MOLLE,San Luis
988,5757,SAN LORENZO,Not Found
989,5759,CALERA ARGENTINA,San Luis
990,5763,GENERAL URQUIZA,Not Found
991,5770,CHACRAS VIEJAS,San Luis
992,5771,ALANICES,San Luis
993,5773,CAÑADA,San Luis
994,5775,BAJO GRANDE,San Luis
995,5777,ADOLFO RODRIGUEZ SAA,San Luis
996,5779,LA CHILCA,Not Found
997,5831,9 DE JULIO,San Luis
998,5835,BELLA VISTA,San Luis
999,5871,LA AGUADA DE LAS ANIMAS,Córdoba
1000,5873,ISLA,Córdoba
1001,5881,CAÑADA LA NEGRA,San Luis
1002,5883,ALTO LINDO,San Luis
1003,6000,BARRIO CAROSIO,Buenos Aires
1004,6001,AGUSTIN ROCA,Buenos Aires
1005,6003,ASCENCION,Buenos Aires
1006,6005,ESTACION GENERAL ARENALES,Buenos Aires
1007,6007,ARRIBEÑOS,Buenos Aires
1008,6009,SAN MARCELO,Santa Fé
1009,6013,BAIGORRITA,Buenos Aires
1010,6015,CAMPO COLIQUEO,Buenos Aires
1011,6017,CHANCAY,Buenos Aires
1012,6018,COLONIA LOS BOSQUES,Buenos Aires
1013,6022,LA ORIENTAL,Buenos Aires
1014,6030,EDMUNDO PERKINS,Buenos Aires
1015,6031,DE BRUYN,Buenos Aires
1016,6032,BLANDENGUES,Buenos Aires
1017,6034,COLONIA ALBERDI,Buenos Aires
1018,6036,DIEGO DE ALVEAR,Santa Fé
1019,6042,DOS HERMANOS,Buenos Aires
1020,6050,CUARTEL VII,Buenos Aires
1021,6051,INGENIERO BALBIN,Buenos Aires
1022,6053,EL PEREGRINO,Buenos Aires
1023,6058,PAZOS KANKI,Buenos Aires
1024,6062,CORONEL GRANADA,Buenos Aires
1025,6063,PORVENIR,Not Found
1026,6064,EDUARDO COSTA,Buenos Aires
1027,6065,BLAQUIER,Not Found
1028,6070,BALSA,Buenos Aires
1029,6071,BERMUDEZ,Buenos Aires
1030,6073,EL TRIUNFO,Buenos Aires
1031,6075,ARENAZA,Buenos Aires
1032,6077,ENCINA,Buenos Aires
1033,6078,BAYAUCA,Not Found
1034,6100,LA INES,Santa Fé
1035,6101,VILLA SABOYA,Córdoba
1036,6103,AMENABAR,Santa Fé
1037,6105,CAÑADA SECA,Buenos Aires
