,codigo_postal,localidad,province
1038,6106,AARON CASTELLANOS,Santa Fé
1039,6200,REALICO,Not Found
1040,6201,CHANILAO,Not Found
1041,6203,EL OLIVO,La Pampa
1042,6205,EL GUANACO,La Pampa
1043,6207,ALTA ITALIA,La Pampa
1044,6212,ADOLFO VAN PRAET,La Pampa
1045,6213,LOTE 11 ESCUELA 107,La Pampa
1046,6214,CASIMIRO GOMEZ,San Luis
1047,6216,BAGUAL,San Luis
1048,6220,BERNARDO LARROUDE,La Pampa
1049,6221,CEBALLOS,La Pampa
1050,6223,CORONEL CHARLONE,Buenos Aires
1051,6228,AGUAS BUENAS,La Pampa
1052,6230,FRANCISCO CASAL,Buenos Aires
1053,6231,CUENCA,Buenos Aires
1054,6233,CONDARCO,Buenos Aires
1055,6235,VILLA SAUCE,Not Found
1056,6237,AMERICA,Buenos Aires
1057,6239,GONZALEZ MORENO,Buenos Aires
1058,6241,EL DIA,Buenos Aires
1059,6242,DRABBLE,Buenos Aires
1060,6244,BANDERALO,Not Found
1061,6269,LA COLINA,Not Found
1062,6277,BUENA ESPERANZA,San Luis
1063,6279,BATAVIA,San Luis
1064,6300,BARRANCAS COLORADAS,La Pampa
1065,6301,ATALIVA ROCA,La Pampa
1066,6303,CACHIRULO,La Pampa
1067,6305,ATREUCO,La Pampa
1068,6307,COLONIA LA ORACION,La Pampa
1069,6309,ALPACHIRI,La Pampa
1070,6311,CAMPO DE LOS TOROS,La Pampa
1071,6312,RICARDO LAVALLE,Not Found
1072,6313,BAJO DE LAS PALOMAS,La Pampa
1073,6315,COLONIA BARON,La Pampa
1074,6317,LA FLORENCIA,La Pampa
1075,6319,CARRO QUEMADO,La Pampa
1076,6321,CAICHUE,La Pampa
1077,6323,ALGARROBO DEL AGUILA,La Pampa
1078,6325,COLONIA DEVOTO,La Pampa
1079,6326,ANGUIL,La Pampa
1080,6330,ARTURO ALMARAZ,La Pampa
1081,6331,COLONIA BEAUFORT,La Pampa
1082,6333,ALFREDO PEÑA,La Pampa
1083,6335,GRACIARENA,Buenos Aires
1084,6337,INGENIERO THOMPSON,Buenos Aires
1085,6338,LEUBUCO,Not Found
1086,6339,CAILOMUTA,Buenos Aires
1087,6341,CHAPI TALO,Buenos Aires
1088,6343,LOS GAUCHOS,Buenos Aires
1089,6345,LA BILBAINA,Not Found
1090,6346,PELLEGRINI,Not Found
1091,6348,BOCAYUBA,Buenos Aires
1092,6352,COLONIA LA INDIA,La Pampa
1093,6354,COLONIA LA GAVIOTA,La Pampa
1094,6360,BARRIO EL MOLINO,La Pampa
1095,6361,AGUSTONI,La Pampa
1096,6365,AZTEAZU,La Pampa
1097,6367,ARGENTINA BELVEDERE,La Pampa
1098,6369,CAMPO SALUSSO,La Pampa
1099,6380,BOEUF,La Pampa
1100,6381,CAMPO CARETTO,La Pampa
1101,6383,CAMPO MOISES SECCION 1A,La Pampa
1102,6385,ARATA,La Pampa
1103,6387,CALEUFU,La Pampa
1104,6389,ALEGRIA,San Luis
1105,6400,BARRIO INDIO TROMPA,Buenos Aires
1106,6401,SUNDBLAD,Buenos Aires
1107,6403,BADANO,Buenos Aires
1108,6405,30 DE AGOSTO,Buenos Aires
1109,6407,GIRODIAS,Buenos Aires
1110,6409,JOSE MARIA BLANCO,Buenos Aires
1111,6411,BRAVO DEL DOS,Buenos Aires
1112,6417,CASBAS,Buenos Aires
1113,6422,PRIMERA JUNTA,Not Found
1114,6424,BERUTI,Buenos Aires
1115,6430,ADOLFO ALSINA,Buenos Aires
1116,6431,ESTACION LAGO EPECUEN,Buenos Aires
1117,6433,ARTURO VATTEONE,Not Found
1118,6434,PALANTELEN,Not Found
1119,6435,GUAMINI,Buenos Aires
1120,6437,ALAMOS,Buenos Aires
1121,6438,MASUREL,Not Found
1122,6439,BONIFACIO,Buenos Aires
1123,6441,COLONIA BARON HIRSCH,Buenos Aires
1124,6443,ARANO,Buenos Aires
1125,6450,ABEL,Buenos Aires
1126,6451,ANCON,Buenos Aires
1127,6453,CARLOS SALAS,Buenos Aires
1128,6455,CARLOS TEJEDOR,Buenos Aires
1129,6457,INGENIERO BEAUGEY,Buenos Aires
1130,6459,COLONIA SERE,Buenos Aires
1131,6461,CAPITAN CASTRO,Buenos Aires
1132,6463,ALAGON,Buenos Aires
1133,6465,CORACEROS,Buenos Aires
1134,6467,EL TRIO,Buenos Aires
1135,6469,ASTURIAS,Buenos Aires
1136,6471,ATAHUALPA,Buenos Aires
1137,6472,FRANCISCO MADERO,Buenos Aires
1138,6474,CAMPO ARISTIMUÑO,Buenos Aires
1139,6475,ESTEBAN DE LUCA,Buenos Aires
1140,6476,CHICLANA,Buenos Aires
1141,6500,9 DE JULIO,Buenos Aires
1142,6501,12 DE OCTUBRE,Buenos Aires
1143,6503,DESVIO KILOMETRO 234,Buenos Aires
1144,6505,DUDIGNAC,Not Found
1145,6507,CORBETT,Buenos Aires
1146,6509,DEL VALLE,Buenos Aires
1147,6511,HALE,Buenos Aires
1148,6513,COLONIA LAS YESCAS,Buenos Aires
1149,6515,CARLOS MARIA NAON,Buenos Aires
1150,6516,AMALIA,Buenos Aires
1151,6530,CARLOS CASARES,Buenos Aires
1152,6531,ALGARROBO,Buenos Aires
1153,6533,ALFREDO DEMARCHI,Buenos Aires
1154,6535,BELLOCQ,Buenos Aires
1155,6537,EL CAMOATI,Buenos Aires
1156,6538,LA DORITA,Buenos Aires
1157,6550,BOLIVAR,Buenos Aires
1158,6551,JUAN F IBARRA,Buenos Aires
1159,6553,LA TORRECITA,Buenos Aires
1160,6555,ALFALAD,Buenos Aires
1161,6557,ARBOLEDA,Buenos Aires
1162,6559,RECALDE,Not Found
1163,6561,BLANCA GRANDE,Buenos Aires
1164,6600,KILOMETRO 125,Buenos Aires
1165,6601,ALTAMIRA,Buenos Aires
1166,6603,INGENIERO WILLIAMS,Buenos Aires
1167,6605,CAMPO PEÑA LOPEZ,Buenos Aires
1168,6607,ANASAGASTI,Buenos Aires
1169,6608,AGOTE,Buenos Aires
1170,6612,CAPDEPONT,Buenos Aires
1171,6614,FRANKLIN,Buenos Aires
1172,6616,CASTILLA,Buenos Aires
1173,6620,CHIVILCOY,Buenos Aires
1174,6621,ANDERSON,Buenos Aires
1175,6623,INDACOCHEA,Buenos Aires
1176,6625,CAÑADA LA RICA,Buenos Aires
1177,6627,ACHUPALLAS,Buenos Aires
1178,6628,COLONIA ZAMBUNGO,Buenos Aires
1179,6632,BENITEZ,Buenos Aires
1180,6634,ALBERTI,Buenos Aires
1181,6640,ASAMBLEA,Buenos Aires
1182,6641,COMODORO PY,Not Found
1183,6643,ARAUJO,Buenos Aires
1184,6645,LA LIMPIA,Buenos Aires
1185,6646,COLONIA SAN EDUARDO,Buenos Aires
1186,6648,MECHA,Buenos Aires
1187,6651,INGENIERO DE MADRID,Not Found
1188,6652,OLASCOAGA,Not Found
1189,6660,25 DE MAYO,Buenos Aires
1190,6661,BLAS DURAÑONA,Buenos Aires
1191,6663,JUAN VELA,Buenos Aires
1192,6665,ERNESTINA,Buenos Aires
1193,6667,AGUSTIN MOSCONI,Buenos Aires
1194,6700,CAMINERA LUJAN,Buenos Aires
1195,6701,CARLOS KEEN,Not Found
1196,6703,ALASTUEY,Buenos Aires
1197,6705,VILLA RUIZ,Not Found
1198,6706,EST JAUREGUI VA FLANDRIA,Buenos Aires
1199,6708,COLONIA NAC DE ALIENADOS,Buenos Aires
1200,6712,CORTINES,Buenos Aires
1201,6720,KILOMETRO 125,Buenos Aires
1202,6721,AZCUENAGA,Buenos Aires
1203,6723,CUCULLU,Buenos Aires
1204,6725,CARMEN DE ARECO,Buenos Aires
1205,6727,GOUIN,Buenos Aires
1206,6734,RAWSON,Buenos Aires
1207,6740,CHACABUCO,Buenos Aires
1208,6743,COLIQUEO,Buenos Aires
1209,6746,CUCHA CUCHA,Not Found
1210,6748,MEMBRILLAR,Buenos Aires
1211,7000,CANTERA AGUIRRE,Buenos Aires
1212,7001,LA PASTORA,Not Found
1213,7003,ACEILAN,Buenos Aires
1214,7005,BARKER,Buenos Aires
1215,7007,CAMINERA NAPALEOFU,Buenos Aires
1216,7009,IRAOLA,Buenos Aires
1217,7011,ANEQUE GRANDE,Buenos Aires
1218,7013,DE LA CANAL,Buenos Aires
1219,7020,BENITO JUAREZ,Buenos Aires
1220,7021,ALZAGA,Buenos Aires
1221,7100,DOLORES,Buenos Aires
1222,7101,CERRO DE LA GLORIA CANAL 15,Buenos Aires
1223,7103,FARO SAN ANTONIO,Buenos Aires
1224,7105,SAN CLEMENTE DEL TUYU,Not Found
1225,7106,LAS TONINAS,Not Found
1226,7107,SANTA TERESITA,Not Found
1227,7108,COSTA DEL ESTE,Buenos Aires
1228,7109,BARRIO PEDRO ROCCO,Buenos Aires
1229,7110,CUARTEL IV,Buenos Aires
1230,7111,SAN BERNARDO DEL TUYU,Not Found
1231,7112,AGUAS VERDES,Buenos Aires
1232,7113,LA LUCILA DEL MAR,Buenos Aires
1233,7114,CANAL 15 CERRO DE LA GLORIA,Buenos Aires
1234,7116,CAMARON CHICO,Buenos Aires
1235,7118,GENERAL GUIDO,Buenos Aires
1236,7119,CARI LARQUEA,Buenos Aires
1237,7130,CAMINERA SAMBOROMBON,Buenos Aires
1238,7135,COMANDANTE GIRIBONE,Buenos Aires
1239,7136,ADELA,Buenos Aires
1240,7150,AYACUCHO,Buenos Aires
1241,7151,LANGUEYU,Buenos Aires
1242,7153,CANGALLO,Buenos Aires
1243,7160,LA UNION,Buenos Aires
1244,7161,LABARDEN,Not Found
1245,7163,CLAVERIE,Buenos Aires
1246,7165,FARO QUERANDI,Buenos Aires
1247,7167,CARILO,Buenos Aires
1248,7169,JUANCHO,Buenos Aires
1249,7172,COLONIA FERRARI,Buenos Aires
1250,7174,ARROYO GRANDE,Buenos Aires
1251,7200,EL GUALICHO,Buenos Aires
1252,7201,COLMAN,Buenos Aires
1253,7203,CHAPALEUFU,Buenos Aires
1254,7205,LA ESPERANZA ROSAS LAS FLORES,Buenos Aires
1255,7207,EL TRIGO,Buenos Aires
1256,7208,CORONEL BOERR,Buenos Aires
1257,7212,DOCTOR DOMINGO HAROSTEGUY,Buenos Aires
1258,7214,CACHARI,Buenos Aires
1259,7220,FUNKE,Buenos Aires
1260,7221,FRANCISCO BERRA,Buenos Aires
1261,7223,BONNEMENT,Buenos Aires
1262,7225,CASALINS,Buenos Aires
1263,7226,GORCHS,Buenos Aires
1264,7228,ABBOTT,Not Found
1265,7240,KILOMETRO 112,Buenos Aires
1266,7241,LA PORTEÑA,Buenos Aires
1267,7243,ANTONIO CARBONI,Buenos Aires
1268,7245,CAMPO SABATE,Buenos Aires
1269,7247,BARRIENTOS,Buenos Aires
1270,7249,EL ARAZA,Buenos Aires
1271,7260,BARRIO VILLA SALADILLO,Buenos Aires
1272,7261,SALADILLO NORTE,Buenos Aires
1273,7263,EL CHUMBEAU,Buenos Aires
1274,7265,CAZON,Buenos Aires
1275,7267,ALVAREZ DE TOLEDO,Buenos Aires
1276,7300,AZUL,Buenos Aires
1277,7301,ARIEL,Buenos Aires
1278,7303,ALTONA,Buenos Aires
1279,7305,ANTONIO DE LOS HEROS,Buenos Aires
1280,7307,CROTTO,Buenos Aires
1281,7311,CHILLAR,Buenos Aires
1282,7313,16 DE JULIO,Buenos Aires
1283,7316,FORTIN IRENE,Buenos Aires
1284,7318,COLONIA HINOJO,Buenos Aires
1285,7400,BARRIO LA LUISA,Buenos Aires
1286,7401,CANTERAS DE GREGORINI,Buenos Aires
1287,7403,ALVARO BARROS,Buenos Aires
1288,7404,FORTIN LAVALLE,Buenos Aires
1289,7406,ALDECON,Buenos Aires
1290,7407,LIBANO,Not Found
1291,7408,LA COLINA,Not Found
1292,7412,LAS HERMANAS,Buenos Aires
1293,7414,LAPRIDA,Buenos Aires
1294,7500,EL CARRETERO,Buenos Aires
1295,7501,INDIO RICO,Not Found
1296,7503,CRISTIANO MUERTO,Buenos Aires
1297,7505,BALNEARIO CLAROMECO,Buenos Aires
1298,7507,EL BOMBERO,Buenos Aires
1299,7509,ORIENTE,Not Found
1300,7511,BALNEARIO OCEANO,Buenos Aires
1301,7513,ADOLFO GONZALES CHAVES,Buenos Aires
1302,7515,CLAUDIO C MOLINA,Buenos Aires
1303,7517,JUAN E BARRA,Buenos Aires
1304,7519,SAN MAYOL,Buenos Aires
1305,7521,DEFERRARI,Buenos Aires
1306,7530,CORONEL PRINGLES,Buenos Aires
1307,7531,DESPEÑADEROS,Buenos Aires
1308,7533,QUIÑIHUAL ESTACION,Not Found
1309,7535,PONTAUT,Not Found
1310,7536,ESTACION CORONEL PRINGLES,Buenos Aires
1311,7540,BATHURST ESTACION,Buenos Aires
1312,7541,D ORBIGNY,Buenos Aires
1313,7543,LA PRIMAVERA,Not Found
1314,7545,HUANGUELEN,Buenos Aires
1315,7547,CASCADA,Buenos Aires
1316,7548,CURA MALAL,Not Found
1317,7600,BARRIO EMIR RAMON JUAREZ,Buenos Aires
1318,7601,BARRIO BATAN,Buenos Aires
1319,7603,COMANDANTE NICANOR OTAMENDI,Buenos Aires
1320,7605,BARRIO CHAPADMALAL,Buenos Aires
1321,7607,BALNEARIO ATLANTIDA,Buenos Aires
1322,7609,BALNEARIO LA CALETA,Buenos Aires
1323,7612,CAMET,Buenos Aires
1324,7613,CALFUCURA,Buenos Aires
1325,7620,BALCARCE,Buenos Aires
1326,7621,LA SARA,Buenos Aires
1327,7623,CAMPO LA PLATA,Buenos Aires
1328,7630,HOSPITAL NECOCHEA,Buenos Aires
1329,7631,COSTA BONITA BALNEARIO,Buenos Aires
1330,7633,MAORI,Buenos Aires
1331,7635,EL LENGUARAZ,Buenos Aires
1332,7637,LA DULCE,Buenos Aires
1333,7639,COOPER,Buenos Aires
1334,7641,BALNEARIO LOS ANGELES,Buenos Aires
1335,8000,ADELA CORTI,Buenos Aires
1336,8101,CALDERON,Buenos Aires
1337,8103,GARRO,Buenos Aires
1338,8105,AGUARA,Buenos Aires
1339,8107,BASE AERONAVAL CMTE ESPORA,Buenos Aires
1340,8109,ALMIRANTE SOLIER,Buenos Aires
1341,8111,ARROYO PAREJA,Buenos Aires
1342,8113,BATERIAS,Not Found
1343,8115,BAJO HONDO,Buenos Aires
1344,8117,ALFEREZ SAN MARTIN,Buenos Aires
1345,8118,CABILDO,Buenos Aires
1346,8122,LA VITICOLA,Not Found
1347,8124,BERRAONDO,Buenos Aires
1348,8126,ALDEA SAN ANDRES,Buenos Aires
1349,8127,ESTELA,Buenos Aires
1350,8129,17 DE AGOSTO,Buenos Aires
1351,8132,BALNEARIO CHAPALCO,Buenos Aires
1352,8133,LA ROSA,Not Found
1353,8134,ARGERICH,Río Negro
1354,8136,ALGARROBO,Buenos Aires
1355,8138,ANZOATEGUI,La Pampa
1356,8142,COLONIA BARGA,Buenos Aires
1357,8144,COLONIA MONTE LA PLATA,Buenos Aires
1358,8146,EL RINCON,Buenos Aires
1359,8148,ESTANCIA LAS ISLETAS,Buenos Aires
1360,8150,CAMPO LA LIMA,Buenos Aires
1361,8151,EL ZORRO,Buenos Aires
1362,8153,BALNEARIO ORIENTE,Buenos Aires
1363,8154,CALVO,Buenos Aires
1364,8156,EL PERDIDO EST JOSE GUISASOLA,Not Found
1365,8158,APARICIO,Buenos Aires
1366,8160,FORTIN CHACO,Buenos Aires
1367,8162,GARCIA DEL RIO,Buenos Aires
1368,8164,ARQUEDAS,Buenos Aires
1369,8166,SALDUNGARAY,Not Found
1370,8168,SIERRA DE LA VENTANA,Not Found
1371,8170,ABRA DE HINOJO,Buenos Aires
1372,8171,ESPARTILLAR,Not Found
1373,8172,ARROYO CORTO,Not Found
1374,8174,ARROYO AGUAS BLANCAS,Buenos Aires
1375,8175,GOYENA,Not Found
1376,8180,COLONIA DR GDOR UDAONDO,Buenos Aires
1377,8181,AZOPARDO,Buenos Aires
1378,8183,AVESTRUZ,Buenos Aires
1379,8185,CAMPO DEL NORTE AMERICANO,Buenos Aires
1380,8187,BORDENAVE,Buenos Aires
1381,8200,COLONIA LIA Y ALLENDE,La Pampa
1382,8201,25 DE MAYO,La Pampa
1383,8203,LA CHIRLANDIA,La Pampa
1384,8204,BERNASCONI,La Pampa
1385,8206,COLONIA ESPAÑA,La Pampa
1386,8208,CAMPO CICARE,La Pampa
1387,8212,ABRAMO,La Pampa
1388,8214,COLONIA CAZAUX,La Pampa
1389,8300,LAS PERLAS,Neuquén
1390,8301,PLANICIE BANDERITA,Río Negro
1391,8303,CINCO SALTOS,Not Found
1392,8305,AGUADA SAN ROQUE,Neuquén
1393,8307,COLONIA GOBERNADOR AYALA,Río Negro
1394,8308,VILLA MANZANO,Not Found
1395,8309,CENTENARIO,Neuquén
1396,8311,VILLA EL CHOCON,Not Found
1397,8313,ARROYITO,Neuquén
1398,8315,ACHICO,Neuquén
1399,8316,BALSA SENILLOSA,Neuquén
1400,8318,CHALLACO,Neuquén
1401,8319,CAMPAMENTO SOL,Neuquén
1402,8322,CUTRAL CO,Neuquén
1403,8324,CIPOLLETTI,Río Negro
1404,8326,CERVANTES,Río Negro
1405,8328,ALLEN,Río Negro
1406,8332,COLONIA RUSA,Río Negro
1407,8333,AGUADA GUZMAN,Río Negro
1408,8334,INGENIERO HUERGO,Not Found
1409,8336,GOBERNADOR DUVAL,Río Negro
1410,8340,AGUADA FLORENCIO,Neuquén
1411,8341,ARROYO QUILLEN,Neuquén
1412,8345,ALUMINE,Neuquén
1413,8347,ARROYO CAHUNCO,Neuquén
1414,8349,AGUAS DE LAS MULAS,Neuquén
1415,8351,AGRIO BALSA,Neuquén
1416,8353,AGUADA CHACAY CO,Neuquén
1417,8360,BUENA ESPERANZA,Río Negro
1418,8361,ISLA GRANDE,Río Negro
1419,8363,COLONIA JOSEFA,Río Negro
1420,8364,CHIMPAY,Río Negro
1421,8366,CHELFORO,Not Found
1422,8370,CAMINERA,Neuquén
1423,8371,ATREUCO,Neuquén
1424,8373,ALIANZA,Neuquén
1425,8375,CAÑADON DE LOS INDIOS,Neuquén
1426,8379,GENTE GRANDE,Not Found
1427,8400,ISLA VICTORIA,Río Negro
1428,8401,CULLIN MANZANO,Río Negro
1429,8402,DINA HUAPI,Not Found
1430,8403,ALICURA,Neuquén
1431,8407,CORRENTOSO,Neuquén
1432,8409,PUERTO OJO DE AGUA,Río Negro
1433,8411,CASCADA LOS CANTAROS,Río Negro
1434,8412,CAÑADON DEL CORRAL,Río Negro
1435,8415,ARROYO LAS MINAS,Río Negro
1436,8416,ANECON GRANDE,Río Negro
1437,8417,CAÑADON CHILENO,Río Negro
1438,8418,ANECON CHICO,Río Negro
1439,8422,AGUADA DE PIEDRA,Río Negro
1440,8424,AGUADA DE GUERRA,Río Negro
1441,8430,COSTA DEL RIO AZUL,Chubut
1442,8431,EL HOYO,Chubut
1443,8500,EL DIQUE,Río Negro
1444,8501,BAHIA CREEK,Río Negro
1445,8503,CHOCORI,Río Negro
1446,8504,CANTERA VILLALONGA,Buenos Aires
1447,8505,EMILIO LAMARCA,Río Negro
1448,8506,BAHIA SAN BLAS,Buenos Aires
1449,8508,AMBROSIO P LEZICA,Buenos Aires
1450,8512,IGARZABAL,Buenos Aires
1451,8514,LAGUNA DEL BARRO,Río Negro
1452,8520,AGUADA DEL LORO,Río Negro
1453,8521,ARROYO DE LA VENTANA,Río Negro
1454,8532,ARROYO SALADO,Río Negro
1455,8534,AGUADA CECILIO,Río Negro
1456,8536,CHIPAUQUIL,Río Negro
1457,9000,COMODORO RIVADAVIA,Chubut
1458,9001,CAÑADON FERRAIS,Chubut
1459,9003,BAHIA SOLANO,Chubut
1460,9007,EL JAGUEL,Chubut
1461,9009,CAÑADON LAGARTO,Chubut
1462,9011,BAHIA LANGARA,Santa Cruz
1463,9013,CAÑADON SECO,Not Found
1464,9015,ALMA GRANDE,Santa Cruz
1465,9017,CAMERON,Santa Cruz
1466,9019,AGUADA ESCONDIDA,Santa Cruz
1467,9020,ARROYO QUILLA,Chubut
1468,9021,COLHUE HUAPI,Not Found
1469,9023,BUEN PASTO,Chubut
1470,9030,RIO MAYO,Not Found
1471,9031,BAJO LA CANCHA,Chubut
1472,9033,ALDEA APELEG,Chubut
1473,9035,ARROYO CHALIA,Chubut
1474,9037,ALDEA BELEIRO,Chubut
1475,9039,HITO 45,Chubut
1476,9040,CAÑADON BOTELLO,Santa Cruz
1477,9041,LOS ANTIGUOS,Not Found
1478,9050,GOBERNADOR MOYANO,Santa Cruz
1479,9051,AGUADA A PIQUE,Santa Cruz
1480,9053,AGUADA GRANDE,Santa Cruz
1481,9100,CERRO SANTA ANA,Chubut
1482,9101,ALTO DE LAS PLUMAS,Chubut
1483,9103,BAJO DE LOS HUESOS,Chubut
1484,9105,ANGOSTURA,Chubut
1485,9107,28 DE JULIO,Chubut
1486,9111,BAHIA BUSTAMANTE,Chubut
1487,9113,FLORENTINO AMEGHINO,Not Found
1488,9120,BAHIA CRACHER,Chubut
1489,9121,AGUADA DE LAS TEJAS,Chubut
1490,9200,ARROYO PESCADO,Chubut
1491,9201,CACHEL,Chubut
1492,9203,ALDEA ESCOLAR,Chubut
1493,9207,ARROYO GUILAIA,Chubut
1494,9210,CUESTA DEL TERNERO,Chubut
1495,9211,CUSHAMEN,Chubut
1496,9213,CAÑADON CALIENTE,Chubut
1497,9217,CHOLILA,Chubut
1498,9220,CAÑADON LA MADERA,Chubut
1499,9221,VALLE HONDO,Not Found
1500,9223,ALTO RIO PICO,Chubut
1501,9225,ARENOSO,Chubut
1502,9227,EL PORVENIR,Chubut
1503,9300,CAÑADON DE LAS VACAS,Santa Cruz
1504,9301,EL CHALTEN,Santa Cruz
1505,9303,CAÑADON DEL TORO,Santa Cruz
1506,9305,CAÑADA DE LAS VACAS,Not Found
1507,9310,AGUADA ALEGRE,Santa Cruz
1508,9311,CAÑADON LEON,Santa Cruz
1509,9313,CARA MALA,Santa Cruz
1510,9315,BAJO CARACOLES,Santa Cruz
1511,9400,AN AIKE,Santa Cruz
1512,9401,EL ZURDO,Santa Cruz
1513,9405,BAHIA TRANQUILA,Santa Cruz
1514,9407,28 DE NOVIEMBRE,Santa Cruz
1515,9409,ISLA GRAN MALVINA,Tierra del Fuego
1516,9410,BAHIA LAPATAIA,Tierra del Fuego
1517,9411,BASE AEREA TENIENTE MATIENZO,Tierra del Fuego
1518,9420,ASERRADERO ARROYO,Tierra del Fuego
1519,9421,FRIGORIFICO CAP,Not Found
